,zid,event_name,distance,laps_time,zroute,elevation_gain
0,3253709,Teniel Campbell: All-Rounder | Jayco - AlUla Hashes,,['60'],Knickerbocker Reverse,709
1,3288877,ZTO Power Push Challenge,20,[''],Tempus Fugit,32
2,3379742,Bicycling Australia & The Classics Weekly Training Ride,,['60'],The Magnificent 8,269
3,3379740,ZLDR Run Like No One is Watching,,['45'],Downtown Dolphin,259
4,3379739,EVR Definitely Not the WTNC,49,"['2', 'laps']",R.G.V.,
5,3379738,Team Italy Bologna iTT Race,8,"['1', 'lap']",Bologna Time Trial,236
6,3379737,PACK Run: Next Step Progressive,8,[''],5K Loop,
7,3379736,MINI CRIT by WKG,9,"['1', 'lap']",Innsbruckring,78
8,3379735,TEAM ITALY HIGH INTENSITY AND STRENGTH INCREASE WORKOUT SERIES by Ferroni,,['60'],Tempus Fugit,64
9,3379733,3R Launchpad Ride [~1.0-1.5w/kg avg],,['30'],Tempus Fugit,32
10,3322384,FRR Tour Watopia - Stage 4,40,[''],Watopia Figure 8,
11,3349251,SISU iTT - Week 1,21,"['3', 'laps']",Twilight Harbor,98
12,3379732,British Cycling Crit City Series,24,"['12', 'laps']",The Bell Lap,183
13,3379731,British Cycling Women's Crit City Series,24,"['12', 'laps']",The Bell Lap,183
14,3379730,Workout Wednesday Run,11,[''],Chili Pepper,
15,3379729,INFLITE TYPE ONE Weekly Wednesday Time Trial,16,[''],Tempus Fugit,26
16,3379728,Innovation Multisport – Midweek Recovery Double Draft Event,,['60'],Greatest London Flat,
17,3379727,CMA Ladies Only Social Ride,,['45'],Wandering Flats,162
18,3379726,SNOW CC Racing League,42,"['1', 'lap']",Out And Back Again,330
19,3379725,QueenBee Thursday Social,,['45'],Tempus Fugit,51
20,3252997,Zwift TT Club Racing Series - Week Five,24,"['1', 'lap']",Casse-Pattes,154
21,3379724,Lactate Shuttle,,['57'],Douce France,243
22,3379720,Team Velos Social Sprint Series,,['60'],Innsbruckring,377
23,3228366,Bicycle Network 4 X 10 MIN TEMPO ALTERNATING,,['60'],Neokyo Crit Course,225
24,3363007,STAGE 1: FLAT IS FAST—Tick Tock,19,"['1', 'lap']",Tick Tock,59
25,3379719,OTR Snap Crackle Pop King/Queen of Leg Snapper,32,[''],Innsbruckring,
26,3379718,ART Jersey Unlock Double Draft Race,28,[''],R.G.V.,
27,3379717,Corre el cHISPazo,5,[''],Handful of Gravel Run,
28,3379716,XRS Races: Wednesday iTT series,9,"['1', 'lap']",Innsbruckring,
29,3379715,REVO Social SUB2,,['45'],Tempus Fugit,
30,3379714,TRI247 Workout Series: Micro Burst Intervals,,['60'],Sand And Sequoias,
31,3379712,Endure IQ Training Squad Session,,['60'],Watopia Figure 8,
32,3379710,VAN RYSEL GROUP RIDE,39,"['3', 'laps']",Flatland Loop,
33,3379708,Newbury Velo Midweek TT,18,[''],Tempus Fugit,
34,3379707,Rowe & King - Workout Wednesday,,['42'],Innsbruckring,
35,3379706,TUZ Happy New Year Sprints & Social E Ride,,['60'],Suki's Playground,
36,3379705,Zwift NL Racing League | Winter Edition Race 3,28,"['1', 'lap']",Royal Pump Room 8,
37,3379704,Bullseye Points Race by Herd Racing League,12,"['6', 'laps']",Downtown Dolphin,
38,3379703,The WCC Wednesday Wobble Group Ride,,['60'],Richmond Flat Roads,
39,3379702,AHDR Euro p/b Giant,39,"['3', 'laps']",Beach Island Loop,
40,3379701,Frenchy Fuzion Criterium League,25,"['1', 'lap']",Neokyo All-Nighter,
41,3379699,Zwift NL - Int. Women's Cycling AMS Workout,,['60'],Countryside Tour,
42,3379698,ZSUN Rising,48,"['1', 'lap']",Three Sisters,
43,3379697,ZTPL Cycling Club Chase Ride,37,"['1', 'lap']",NYC KOM After Party,
44,3390128,DCU Ligaen - #10 - Herre,46,"['1', 'lap']",Surrey Hills,
45,3390139,DCU Ligaen - #10- Dame,46,"['1', 'lap']",Surrey Hills,
46,3390088,Workout of the Week,,['30'],Volcano Circuit,
47,3379696,MX Nationals Chase Race,35,"['1', 'lap']",Chasing the Sun,
48,3379695,The WYDB Bash,28,"['2', 'laps']",2019 UCI Worlds Harrogate Circuit,
49,3379694,Team CLS Ride n Explore,,['70'],Triple Flat Loops,
50,3379693,AHDR Bacon Rolls p/b JetBlack,,['60'],Watopia's Waistband,
51,3319717,FEED EM' TO THE LIONS,30,"['1', 'lap']",Watopia Figure 8,
52,3379692,Team Italy Bologna iTT Race,8,"['1', 'lap']",Bologna Time Trial,
53,3379691,TBR MounTRONeering,17,"['1', 'lap']",Road to Sky,
54,3379690,The Knights Race Series - Series XI,17,"['1', 'lap']",Road to Sky,
55,3379689,3R Points Race,20,"['10', 'laps']",Downtown Dolphin,
56,3379688,ZZRC Green Goblins Sub 2 Spin,,['60'],R.G.V.,
57,3380336,Coupe de France eCycling - Manche 4,30,"['1', 'lap']",Watopia Figure 8,
58,3382745,BL13 Race Series 3 // Race 2,7,[''],Cobbled Climbs Reverse,
59,3114310,Midnight Warriors Triathlon Club Winter Series,12,"['1', 'lap']",Volcano Flat Reverse,
60,3291048,FRR Tour Watopia - Stage 4,40,[''],Watopia Figure 8,
61,3361861,OWC Zwift Interclub Competition,46,"['1', 'lap']",Quatch Quest,
62,3378769,NEUJAHR-SOCIAL-RIDE + ORTSSCHILDSPRINT 🚴‍♂️💥💨,43,"['6', 'laps']",Lutece Express,
63,3379686,Wednesday Hand Cycle Ride,,['60'],Richmond Flat Roads,
64,3379685,HEXAGONE Race Series,25,[''],Legends and Lava,
65,3379683,3R Racing,45,[''],Petit Boucle,
66,3379682,UKAF Hosts - Save Our Wednesday Sports Afternoon (SOWAS) Series,25,"['1', 'lap']",Douce France,
67,3379681,ZZRC Happy Hour,,['60'],R.G.V.,
68,3379680,Movember CC,,['60'],Beach Island Loop,
69,3379679,KNWUFondo.nl Break Your Week Work-out,,['60'],Tempus Fugit,
70,3379678,Flanders Cycling Happening,42,"['1', 'lap']",Leith Hill After Party,
71,3379677,SZR Groupworkouts by Aktivitus,,['73'],Chasing the Sun,
72,3379676,ZHCC Fine & Dandy Gravel Ride 1.5w/kg – 2.0w/kg,,['60'],Fine and Sandy,
73,3390109,Faelles opvarmning - . 10. afdeling DCU Ligaen,,['30'],Surrey Hills,
74,3339795,Team Italy & La Squalo TV – Ride with Domenico Pozzovivo,33,"['5', 'laps']",London Classique,
75,3379675,Ham Sandwich,,['52'],R.G.V.,
76,3379674,PACK 1.5 Supportive,,['60'],Triple Flat Loops,
77,3252996,Zwift TT Club Racing Series - Week Five,24,"['1', 'lap']",Casse-Pattes,
78,3379673,HISP Sprint Racing League,20,"['10', 'laps']",Downtown Dolphin,
79,3379672,3R & Triathlon Ireland Race,17,"['1', 'lap']",Road to Sky,
80,3272407,HISP WINTER TOUR STAGE 9,45,[''],London PRL Half,
81,3379668,Midweek Mountain Massif TT - Sponsored by Elite's RIZER,10,[''],Ven-Top,
82,3379667,DBR Wednesday Race - Category Enforcement,33,"['5', 'laps']",London Classique,
83,3379666,Vikings Valhalla Freya's Challenge,,['60'],Two Bridges Loop,
84,3379665,Le Col Cycling Club Community Sessions,,['50'],Jungle Circuit,
85,3379664,AEO Drop Watts n' Sprint!,,['50'],Richmond Flat Roads,
86,3382741,BL13 Race Series 3 // Race 1,11,"['1', 'lap']",Fine and Sandy,
87,3379663,Marcha Ciclista Virtual Fuenlabrada 2021,23,"['1', 'lap']",Volcano Climb,
88,3379644,The HERD Bull Run,,['60'],Island Hopper,
89,3351805,Sunrise Racing Team Club Race,22,"['3', 'laps']",Grand Central,
90,3311340,Women Only Wednesday Donny Chaingang - WOWDCG powered by Full Speed Events,45,[''],R.G.V.,222
91,3253442,Women's Team Workout | Jayco - AlUla Hashes,,['60'],Chasing the Sun,406
92,3253360,Men's Team Workout | Jayco - AlUla Hashes,,['60'],Greatest London Loop,
93,3340927,Ollie Bridgewood - Pump Room 8 (Harrogate),28,"['1', 'lap']",Royal Pump Room 8,487
94,3356171,GTCC Weekly Ride,,['45'],Watopia's Waistband,107
95,3361836,La Squadra: Pinarello Owners Community Ride,,['60'],Beach Island Loop,83
96,3372958,Paris Marathon Training,,['29'],Champs-Élysées,237
97,3379662,Rocacorba Collective Women Only Recon Ride,,['60'],Chain Chomper,565
98,3379661,NGNM Women Crush Wed - Training Ride,,['60'],Three Little Sisters,251
99,3379658,Fearless Women's MTB Race,27,"['1', 'lap']",Serpentine 8,102
100,3379657,KALAS Group Ride,,['60'],Innsbruckring,377
101,3379655,Sledgehammer Inbetweeners Races,21,"['2', 'laps']",Jungle Circuit,174
102,3379654,Team EF Coaching Weekly Training Ride,,['56'],Hilly Route Reverse,467
103,3379648,Cycling Weekly Club 10,16,[''],Tempus Fugit,26
104,3379647,MIDWEEK Winter Series by SZR,35,"['1', 'lap']",Chasing the Sun,313
105,3379646,"""Las Chilis"" ZESP",,['60'],Serpentine 8,
106,3379645,Rhino Sausage Roll Social,,['60'],Neon Flats,209
107,3390144,DCU SUPER Ligaen - #10 - Herre Elite,46,"['1', 'lap']",Surrey Hills,1032
108,3380331,Coupe de France eCycling - Manche 4,8,"['1', 'lap']",Bologna Time Trial,236
109,3379642,Team Italy 6th Anniversary 2017-2023 Ride,39,"['6', 'laps']",The 6 Train,
110,3379643,The Power Lunch by Saris NoPinz,34,"['5', 'laps']",Bridges and Boardwalks,298
111,3379635,3R Steady State Endurance Ride,100,[''],Tempus Fugit,
112,3379640,BCS Women's Ride,,['60'],Beach Island Loop,83
113,3379639,SACF VIRTUAL RACE,23,"['1', 'lap']",Volcano Climb,202
114,3379638,Team Italy Bologna iTT Race,8,"['1', 'lap']",Bologna Time Trial,236
115,3379637,Squadra Castelli,,['60'],Turf N Surf,
116,3379636,Guayaba Race by PETA-Z,12,[''],Lutscher,
117,3291046,FRR Tour Watopia - Stage 4,40,[''],Watopia Figure 8,
118,3217473,RAD RACE x PUSHING LIMITS Group Workout #6,,['60'],Libby Hill After Party,
119,3379634,3R & British Cycling South West - Series 2,37,"['4', 'laps']",Gotham Grind Reverse,
120,3379633,Giant Camden Functional Reserve Workouts,,['60'],Roule Ma Poule,
121,3379632,BC Bike Race Gravel Explorer,23,"['3', 'laps']",Handful Of Gravel,
122,3379631,BC Bike Race Gravel Explorer (Women Only),23,"['3', 'laps']",Handful Of Gravel,
123,3379630,Dream Bike Race Series,27,"['3', 'laps']",Watopia Hilly Route,
124,3379629,EVO CC Race Series,40,"['1', 'lap']",Makuri 40,
125,3379628,ZLDR Starters Run,15,[''],Island Hopper,
126,3379627,LEQP Provence Rose Ride,49,"['2', 'laps']",R.G.V.,
127,3379626,ZZRC Midweek Mountain Madness & Sub 60,17,"['1', 'lap']",Road to Sky,
128,3379625,EVO CC Mini Vamos! Cat C+ [~2.8-3.2w/kg avg],,['90'],Tick Tock,
129,3379624,Vikings Valhalla Recovery Rde,,['60'],Richmond Flat Roads,
130,3379623,Masters SA,30,"['2', 'laps']",Chain Chomper,
131,3379622,Paceheads After Work Group Ride,,['60'],Tempus Fugit,
132,3363022,STAGE 1: FLAT IS FAST—Tick Tock,19,"['1', 'lap']",Tick Tock,
133,3379621,Paracycling Group Ride hosted by NCF,,['60'],Sand And Sequoias,
134,3379620,HIGH SCORE by Scannellatori Seriali,,['59'],Lutscher CCW,
135,3379619,Cycle Nation Segment Smasher,,['60'],Tempus Fugit,
136,3379610,SZR Cycling Enthusiasts,42,"['1', 'lap']",Out And Back Again,
137,3253571,Lawson Craddock: All-Rounder | AlUla - Jayco Hashes,,['60'],Downtown Titans,
138,3379618,dPAC Climbers Epic: Gavia-Mortirolo,43,"['1', 'lap']",WBR Climbing Series,
139,3379613,ZRG-CC iTT,14,"['1', 'lap']",Harrogate Circuit Reverse,
140,3379612,Mountain Massif: Structured Training - Aerobic Stretch,,['60'],Sand And Sequoias,
141,3379611,Cycle Nation Joburg Sundowner,,['60'],Tempus Fugit,
142,3379608,GXY LOOSEY GOOSEY [1.6-2.0WKG] CAT D,,['60'],Greatest London Flat,
143,3349247,SISU iTT - Week 1,21,"['3', 'laps']",Twilight Harbor,
144,3379607,Workout Wednesday Run,11,[''],Chili Pepper,
145,3379606,Veterans Mid-Week ride hosted by Invictus Games Foundation,,['60'],Fine and Sandy,
146,3379605,TEAM VEGAN Mixed Salad #veganuary,,['60'],Dust In The Wind,
147,3379604,ZZK league,37,"['9', 'laps']",Rooftop Rendezvous,
148,3379603,Escalation,,['55'],R.G.V.,
149,3379602,3R Racing,36,"['2', 'laps']",Tick Tock,
150,3253472,Jess Allen: Domestique | Jayco - AlUla Hashes,,['60'],Temples and Towers,
151,3379601,WEDU Wednesday,,['60'],Eastern Eight,
152,3379600,Vitality for UNICEF Group Ride,24,"['3', 'laps']",Farmland Loop,
153,3379597,EVO CC Sprint Race Series,25,"['1', 'lap']",Turf N Surf,
154,3379596,Team Italy Specialissima Race,27,"['1', 'lap']",Roule Ma Poule,
155,3379595,Team DRAFT Wednesday Race,42,"['1', 'lap']",Out And Back Again,
156,3379594,Applewood Cycling Chase Race,49,"['2', 'laps']",Douce France,
157,3379593,Arise,,['52'],Douce France,
158,3379592,Peak Race Series p/b Speed Hound,28,[''],Downtown Dolphin,
159,3363031,STAGE 1: FLAT IS FAST—Tick Tock,19,"['1', 'lap']",Tick Tock,
160,3379591,3R Racing,4,"['1', 'lap']",Laguardia Loop,
161,3253598,Michael Matthews: Sprinter | Jayco - AlUla Hashes,,['60'],Neokyo All-Nighter,
162,3379588,KISS Racing - Category Enforcement,47,"['2', 'laps']",Casse-Pattes,
163,3390087,Workout of the Week,,['30'],Volcano Circuit,
164,3379587,3R Racing,23,"['1', 'lap']",Sand And Sequoias,
165,3379586,EZR Wednesday Short Ride,,['45'],Tick Tock,
166,3379585,Team CLS Racing - Hump Day Blast - Category Enforcement,20,"['10', 'laps']",Downtown Dolphin,
167,3379584,Arise,,['52'],R.G.V.,
168,3379583,BanditZ WandererZ,,['60'],Downtown Titans,
169,3379582,Group Run 10k,10,[''],Hudson Roll,
170,3379581,Ascenders Team Midweek Ride,,['60'],Tick Tock,
171,3291045,FRR Tour Watopia - Stage 4,40,[''],Watopia Figure 8,
172,3253680,Teniel Campbell: All-Rounder | Jayco - AlUla Hashes,,['60'],Knickerbocker Reverse,
173,3379579,Tower 26 Group Run Workout,,[''],May Field,
174,3379578,Ascenders Team Easy Eddy Ride,,['30'],Richmond Flat Roads,
175,3379577,Workout Wednesday Run,11,[''],Chili Pepper,
176,3379575,USMES – Wednesday BOOT CAMP,,['60'],Turf N Surf,
177,3379574,Anaerobic Capacity into VO2,,['52'],R.G.V.,
178,3363043,STAGE 1: FLAT IS FAST—Tick Tock,19,"['1', 'lap']",Tick Tock,
179,3379572,BMTR Short Adventure,,['60'],Greater London Flat,
180,3379570,Amalgam,,['51'],R.G.V.,
181,3379568,3R Racing,29,"['10', 'laps']",Laguardia Loop,
182,3379567,EVO CC CRIT STYLE RACING,18,"['6', 'laps']",Laguardia Loop,
183,3379566,ODivaZ 2.3 Ride,,['60'],Greater London Flat,
184,3252995,Zwift TT Club Racing Series - Week Five,24,"['1', 'lap']",Casse-Pattes,
185,3379565,British Cycling Crit City Series,24,"['12', 'laps']",The Bell Lap,
186,3379564,British Cycling Women's Crit City Series,24,"['12', 'laps']",The Bell Lap,
187,3379563,WPJR | WHY PRACTICE JUST RACE,25,"['2', 'laps']",Sprinter's Playground,
188,3379562,Team Electric Spirit Co. Preprandial Crits,9,"['2', 'laps']",Queen's Highway,
189,3379561,VO2 Max 40/20,,['48'],Douce France,
190,3379560,USAT Social Fun Run,,['45'],Two Bridges Loop,
191,3363006,STAGE 1: FLAT IS FAST—Tick Tock,19,"['1', 'lap']",Tick Tock,
192,3379559,DIRT Mid-week Ride,,['90'],Downtown Titans,
193,3253411,Women's Team Workout | Jayco - AlUla Hashes,,['60'],Chasing the Sun,
194,3253378,Men's Team Workout | Jayco - AlUla Hashes,,['60'],Greatest London Loop,
195,3379558,Slowtwitch Indoors: 100/100 Challenge Group Run,,['30'],Valley to Mountaintop,
196,3379557,Veselka Ride for Ukraine,,['60'],Downtown Dolphin,
197,3379556,Trek Malaysia Social Ride,36,"['2', 'laps']",Tick Tock,
198,3379555,Never Not Riding by Specialized Asia,,['60'],Tempus Fugit,
199,3379552,MHG Run Club,5,[''],Farmland Loop,
